序号,单词,音标,词性及释义
53,avoid,[ə'vɔɪd],v.避免
54,awful,['ɔ:fl],adj. 可怕的；糟糕的；非常的；极坏的
55,back,[bæk],n. 后面; vt. 支持；后退; adv. 向后地; adj. 向后的；后面的
56,balance,['bæləns],n./v.平衡
57,base,[beɪs],v.基于 n.基地；基础
58,basic,['besɪk],n.基础； adj.基本的
59,bear,[bɛə],v. 承受; 携带; 运送
60,beat,[bit],v.打败；心跳；连续不断击打
61,begin,[bi'gin],v. 开始
62,behave,[bɪ'heɪv],v.表现
63,behavior,[bɪ'heɪvjə],n. 行为；举止；习性；态度
64,belief,[bɪ'li:f],n.相信；信赖；信仰
65,beneficial,[ˌ benɪ'fɪʃl],adj. 有利的；有益的
66,benefit,['benɪfɪt],n.好处；优点
67,beyond,[bɪ'jɒ nd],prep.超过,（表示位置）在……的那边
68,blame,[bleɪm],vt. 责备；把 ... 归咎于; n. 责备；过失
69,blind,[blaɪnd],adj.瞎的
70,blow,[bləʊ],n. 打击；殴打；吹; v. 吹；风吹
71,born,[bɔ:n],v.bear 的过去分词; adj.出生的
72,brain,[breɪn],n.脑子
73,brave,[breɪv],adj.勇敢的
74,break,[breɪk],n.休息；中断；破裂处; vt. 打破；弄破；中断；弄坏；削弱
75,breathe,[bri:ð],vi. 呼吸; vt. 轻声说；流露（自信等感情）；注入
76,bright,[brait],adj.明亮的
77,bring,[briŋ],v. 带来; 促使; 引起
78,build,[bild],v. 建造, 建立
79,building,['bɪldɪŋ],n. 建筑物
80,calm,[kɑ:m],adj. 平静的；冷静的; v. (使)平静；(使)镇静; n. 镇定；平静；平稳
81,camera,['kæmərə],n.相机
82,camp,[kæmp],v./n. 露营
83,can,[kæ n],aux. 可以；能; n. 罐头; v. 罐装
84,cancel,['kæ nsl],v. 取消
85,care,[keə],n.照料；保护；小心
86,career,[kə'rɪə],n. 生涯；职业；事业
87,careful,['kɛrfəl],adj. 小心的；谨慎的；仔细的
88,carry,['kæ ri],vt. 拿；搬；带；提；抬；背；抱；运等
89,case,[keɪs],n.箱子；案例
90,catch,[kæ tʃ],v.赶上; 抓住; 感染
91,cause,[kɔ:z],n/v.原因；起因
92,celebrate,['selɪbreɪt],v. 庆祝；庆贺；颂扬
93,celebration,[ˌ selɪ'breɪʃn],n.庆祝
94,certain,['sə:tən],adj.特定的；当然的
95,certainly,['sɜ:rtnli],adv.肯定地；当然
96,challenge,['tʃæ ləndʒ],n./v.挑战； 向…挑战
97,chance,[tʃɑ:ns],n.机会；可能性
98,change,[tʃeɪn(d)ʒ],n.零钱；找头．改变；变化；
99,character,['kæ rəktə(r)],n. 个性；品质；人物；; adj. [剧](角色)代表某一特性的
100,cheat,[tʃit],v.欺骗；作弊
101,check,[tʃek],v. n.检查
102,cheer,[tʃɪr],v.欢呼
103,choice,[tʃɔis],n.选择；抉择
104,choose,[tʃu:z],v. 选择, 挑选
105,close,[kləuz],adj. 近的；亲密的; v.关
106,collect,[kə'lekt],v.收集, 采集; 募集
107,college,['kɔlidʒ],n.大学
108,comfort,['kʌ mfət],n. v.安慰
109,comment,['kɒ ment],n. 评论；意见；批评; vt. 发表评论；发表意见
110,common,['kɒ mən],adj. 平常的；常见的
111,communication,[kəmjuːnɪ'keɪʃ(ə)n],n. 交流；通讯；传达；通信；沟通
112,company,['kʌ mpəni],n.公司
113,compare,[kəm'peə],v. n.比较
114,compete,[kəm'pi:t],v.比赛；竞赛
115,competition,[ˌ kɔmpə'tiʃən],n.竞赛
116,complain,[kəm'plen],v.抱怨
117,complete,[kəmˈ plit],v.完成
118,condition,[kən'dɪʃən],n.处境；状况
119,confidence,['kɒ nfɪdəns],n. 信任；把握；信心
120,confident,['kɑ:nfɪdənt],adj.有自信的
121,confuse,[kən'fju:z],v. 使糊涂；使迷惑
122,connect,[kə'nekt],vt.连接；把…联系起来
123,connection,[kə'nekʃn],n. 联系；关系；连接
124,consider,[kən'sɪdər ],v.考虑
125,continue,[kən'tinju:],v.继续; 延续
126,control,[kən'troʊl],v.控制
127,conversation,[ˌ kɑ:nvər'seɪʃn],n.谈话
128,cooperate,[kəʊ'ɒ pəreɪt],v.合作
129,correct,[kə'rɛkt],adj.正确的；v.修正
130,cost,[kɔst],vt. n.花费
131,count,[kaʊnt],vt.数；点数
132,courage,['kɜ:rɪdʒ],n.勇气
133,course,[kɔ:rs],n.课程；过程
134,cover,['kʌ və],v.覆盖, 掩饰; 采访, 报导
135,crazy,['kreɪzi],adj.疯狂的
136,create,[kri'et],v.创造
137,creative,[kri'eɪtɪv],adj. 创造的；创造性的；创作的；产生的；
138,criticize,['krɪtɪsaɪz],v. 批评；挑剔；评论
139,cross,[krɒ s],v. 横穿; n. 十字架; adj. 生气的
140,crowded,['kraʊdɪd],adj.拥挤的
141,cry,[kraɪ],v.哭
142,cultural,['kʌ ltʃərəl],adj. 文化的
143,culture,['kʌ ltʃə],n.文化
144,curious,['kjʊriəs],adj.好奇的
145,damage,['dæmɪdʒ],n. 损害；损失；毁坏; vt. 损害；毁坏
146,dangerous,['deɪndʒərəs],adj. 危险的；不安全的
147,deal,[di:l],n.量；数额；交易
148,death,[deθ],n. 死；死亡；毁灭；死因
149,decide,[dɪ'saɪd],v.决定；下决心
150,deep,[diːp],adj. 深的；深刻的；深奥的；深切的; adv. 深深地; n. 深处
151,degree,[dɪ'gri:],n. 程度；度数；学位
152,delicious,[dɪ'lɪʃəs],adj. 可口的
153,depend,[dɪ'pend],vi. 依赖；依靠；取决于
154,depress,[dɪ'pres],vt. 使沮丧；使萧条；压抑
155,describe,[dɪ'skraɪb],v.描述
156,design,[dɪ'zaɪn],vt. 设计, 绘制; n. 图样, 设计图
157,destroy,[dɪ'strɔɪ],v.破坏
158,detail,['diːteɪl],n. 细节；详情
159,develop,[dɪ'veləp],v. 发展；发育；开发；冲洗(照片)
160,development,[di'veləpmənt],n.发展；发达；发育；开发
161,dialogue,['daɪəlɒ g],n.对话; 对白; （文学、戏剧、电影等中的）对话; vt.用对话表达;
162,different,['difrənt],adj.不同的；有差异的
163,difficult,['difikəlt],adj.难的；艰难的；不易相处的
164,difficulty,['dɪfɪkəlti],n. 困难；争议；麻烦
165,direct,[də'rekt],adj. 直接的；笔直的；; v. 对准；指挥；指示；命令
166,direction,[də'rekʃn],n. 方向；指导；用法说明；目标
167,disadvantage,[ˌ dɪsəd'vɑːntɪdʒ],n. 不利；不利条件；损害；损失
168,disappoint,[ˌ disə'pɔint],v.使失望
169,disappointed,[ˌ dɪsə'pɔɪntɪd],adj.失望的
170,discover,[dis'kʌ və],v. 发现, 发觉
171,discuss,[dɪ'skʌ s],v.讨论
172,discussion,[dɪ'skʌ ʃən],n.讨论
173,disease,[dɪ'ziːz],n. 疾病; v. 使…生病；感染
174,disorder,[dɪs'ɔːdə(r)],n. 混乱；杂乱；不适；失调；疾病; v. 扰乱
175,distance,['dɪstəns],n. 距离；路程；远方; vt. 与 ... 保持距离
176,divide,[dɪ'vaɪd],v. 划分；隔开；分割；[数]除； 分裂；分开; n. 分歧
177,doubt,[daʊt],v.\n.怀疑
178,draw,[drɔː],v. 拖；画；拉；绘制; n. 拉；拽；吸引人的事物
179,dream,[dri:m],v. 做梦, 梦见
180,drop,[drɔp],v. 掉下；放弃; n.水滴
181,during,['dʊrɪŋ],prep.在...期间
182,eager,['i:gə(r)],adj. 渴望的；热切的
183,education,[ˌ ɛdʒə'keʃən],n.教育
184,effect,[ɪ'fɛkt],n.影响
185,effort,['efərt],n.努力
186,emotion,[ɪ'məʊʃn],n.情感；情绪
187,emotional,[ɪ'moʊʃənl],adj.情感的
188,encourage,[ɪn'kɜ:rɪdʒ],v.鼓励
189,end,[end],v./n.结束；终止
190,enemy,['enəmi],n. 敌人；敌军
191,energetic,[ˌ enə'dʒetik],adj.精力充沛的
192,energy,['enədʒi],n.精力；能量
193,enjoy,[in'dʒɔi],v. 欣赏, 享受; 喜爱
194,enough,[ɪ'nʌ f],adj.足够的
195,enter,['entə(r)],v. 进入
196,environment,[ɛn'vaɪrənmənt],n.环境
197,especially,[i'speʃəli],adv.尤其
198,even,['ivən],adv.甚至
199,event,[ɪ'vent],n. 大事；事件；项目
200,exact,[ɪg'zæ kt],adj.准确的；严密的；精密的；精确的
201,examination,[ɪg,zæmɪ'neɪʃ(ə)n; eg-],n. 考试；检查；查问
202,example,[ɪg'zɑːmpl],n. 例子；榜样；举例；; v. 作为 ... 的示范
203,excellent,['eksələnt],adj. 出色的；杰出的
204,except,[ɪk'sept],prep.除了
205,excite,[ɪk'saɪt],v.使…兴奋
206,exciting,[ɪk'saɪtɪŋ],adj. 使人激动的；令人兴奋的; v. 激动；唤起；刺激（excite 的 ing 形式）
207,excuse,[ɪk'skjuz],n.借口 ; v.原谅
208,executive,[ɪg'zekjətɪv],adj.执行的;管理的;政府部门的
209,exercise,['eksəsaiz],n.锻炼；做操；练习；习题 ; v. 练习
210,expect,[ɪk'spɛkt],v.期待
211,experience,[iks'piəriəns],n.经验；经历
212,experiment,[ɪk'sperɪmənt],n.实验
213,expert,['ekspɜ:t],n.专家；能手；权威
214,explain,[ik'splein],v.解释, 说明
215,explanation,[ˌ eksplə'neɪʃn],n.解释
216,explore,[ɪk'splɔ:(r)],v.探索
217,express,[ɪk'spres],v.表达；表示
218,facial,['feɪʃl],adj. 脸部的；面部的; n. 美容
219,fail,[feɪl],v. 失败；没做成某事；不及格; n. 不及格；没做成
220,failure,['feɪljər],n.失败
221,fair,[feə(r)],adj. 公平的；相当的; n. 展览会；市集; adv. 公平地；直接地
222,fall,[fɔ:l],vi.落下
223,Familiar,[fə'mɪliə(r)],adj. 熟悉的; n. 熟人；精灵
224,famous,['feɪməs],adj. 著名的；有名的
225,fantastic,[fæ n'tæstɪk],adj.完美的
226,fear,[fiə],v. 害怕, 畏惧
227,fearless,['fɪələs],adj. 无畏的；不怕的
228,feed,[fid],v.喂养；补给（物质补给）
229,feel,[fiːl],v.感觉；摸索
230,feeling,['fiːlɪŋ],n.感觉；知觉
231,festival,['festəvəl],n.节日的；喜庆的
232,field,[fi:ld],n.田野；领域
233,fight,[faɪt],n. 战斗；打架; v. 打架； 奋斗；斗争；争吵
234,fill,[fil],v. 装满, 弥漫, 填充
235,final,['faɪnəl],adj.最后的
236,fit,[fɪt],adj. 合适的；健康的; v. 适合；安装
237,focus,['fəʊkəs],vt.聚焦；注视；集中注意力
238,follow,['fɒ ləʊ],v.跟随；按照；追踪
239,force,[fɔ:s],vt.强迫;迫使
240,forget,[fər'get],v.忘记
241,forgive,[fə'ɡɪv],v. 原谅
242,form,[fɔ:m],n.格式
243,friendly,['frendli],adj. 友好的
244,frighten,['fraɪtn],n.吓唬；使惊吓；害怕; v. 使惊吓；使惊恐
245,frightened,['fraɪtnd],adj. 害怕的；受惊的；受恐吓的
246,full,[fʊl],adj. 充满的；完全的
247,funny,['fʌ ni],adj.滑稽的
248,general,['dʒenrəl],adj. 普遍的；全面的；一般性的；; n. 将军；一般
249,gift,[gɪft],n.礼物；天赋
250,goal,[goʊl],n.目标；球门
251,government,['gʌ vərnmənt],n.政府
252,gradually,['græ dʒʊəlɪ],adv.渐渐地
253,guilty,['gɪltɪ],adj. 有罪的；内疚的
254,habit,['hæ bɪt],n. 习惯；习性
255,hall,[hɔːl],n. 大厅；礼堂
256,hand,[hæ nd],n.手,指针;v.递给
257,happen,['hæ pən],vi. 发生；碰巧；偶遇
258,hard,[hɑːd],adv.努力地；使劲；猛烈地．
259,hardly,['hɑ:rdli],adv.几乎不
260,harm,[hɑːm],n. 危害；伤害；损害; vt. 伤害；损害
261,harmful,['hɑ:rmfl],adj.有害的
262,head,[hed],v.前进, 朝向; 用头顶(球)
263,healthy,['helθi],adj.健康的；健壮的
264,heat,[hi:t],n.热
265,hide,[haid],v. 躲藏, 隐藏; 隐瞒
266,hit,[hit],n.击；打
267,hold,[həuld],v.握着, 抓住; 持有, 保留
268,honest,['ɒ nɪst],adj. 诚实的；正直的；
269,honor,['ɑnɚ],n.荣幸
270,hope,[həup],v. 希望, 期待
271,however,[haʊ'evə(r)],adv. 然而；无论如何；不管多么; conj. 不管怎样
272,huge,[hjudʒ],adj.巨大的
273,humor,['hju:mə],n. 幽默；诙谐
274,humorous,['hju:mərəs],adj.幽默的;风趣的;滑稽的;恢谐
275,hundred,['hʌ ndrəd],n. 一百
276,hunt,[hʌ nt],v. 狩猎；搜索; n. 狩猎；搜寻
277,hurricane,['hʌ rɪkən],n. 飓风；暴风
278,hurry,['hʌ ri],v. 匆忙；催促；; n. 匆忙；仓促
279,hurt,[hɜːt],vt. 使受伤；使疼痛；使痛心; ; n.痛苦；危害；痛苦的原因
280,idea,[aɪˈ di:ə],n.想法
281,imagine,[ɪˈ mæ dʒɪn],n.想象
282,immediately,[ɪ'miːdiətli],adv. 立即；直接地; conj. 一 ... (就)
283,important,[im'pɔ:tənt],adj.重要的
284,impossible,[ɪm'pɒ səbl],adj. 不可能的
285,impression,[ɪm'preʃ(ə)n],n. 印象；效果；影响
286,improve,[ɪm'pruv],v.提高；改善
287,include,[ɪn'kluːd],vt. 包括；包含
288,incorrect,[ˌ ɪnkə'rekt],adj.不正确的
289,increase,[ɪn'kris],v.增加
290,indicate,['ɪndɪkeɪt],v. 表明；指出；预示；象征
291,infer,[in'fə:],vt.推断
292,influence,['ɪnfluəns],n./v.影响
293,information,[ˌ ɪnfə'meɪʃn],n. 信息；情报；资料
294,injury,['ɪndʒəri],n. 伤害；损害
295,inside,[in'said],prep.在……里面
296,insist,[ɪn'sɪst],v.坚持
297,instead,[in'sted],adv.代替；顶替
298,instruct,[ɪn'strʌ kt],v. 教；命令；指导
299,instruction,[ɪn'strʌ kʃn],n. 指令；说明
300,interest,['ɪntrəst],n. 兴趣 v. 使…感兴趣
301,interesting,['intristiŋ],adj.有趣的
302,international,[ˌ ɪntə'næʃnəl],adj. 国际的
303,interview,['ɪntəvjuː],n. 面谈；面试; v.采访；对 ... 进行面试
304,introduce,[ɪntrə'djuːs],v. 介绍; 引进; 提出
305,introduction,[ˌ ɪntrə'dʌ kʃn],n. 介绍；引进
306,invention,[ɪn'venʃn],n. 发明；发明物
307,invite,[in'vait],v. 邀请; 招致
308,involve,[ɪn'vɒ lv],v. 包含；使成为必然部分（或结果）；; 牵涉；牵连；（使）参加；加入
309,jogging,['dʒɒ gɪŋ],n. 慢跑
310,join,[dʒɒ ɪn],v.参加；加入；连接；会合
311,judge,[dʒʌ dʒ],v.评判
312,just,[dʒʌ st],adv.只是；就（表示强调）
313,keep,[kiːp],vt. & vi. 保持;保有
314,key,[kiː],n. 钥匙,答案,关键
315,knowledge,['nɔlidʒ],n.知识；学问
316,lack,[læk],n. 缺乏; v. 缺乏；不足
317,land,[læ nd],v. 使登陆, 着陆; 到达
318,last,[læst],adj.最后的；; v.持续；上一个
319,laugh,[lɑ:f],v.大笑（laugh at sb. 嘲笑某人）
320,law,[lɔ:],n.法律；法令；定律
321,leader,['liːdə],n. 领导
322,least,[li:st],n.最少；最少量
323,leave,[li:v],v. 离开; 遗弃, 遗留, 留下
324,lecture,['lektʃə],n. 演讲；讲稿; v. 演讲；训诫；讲演
325,less,[les],adj. 较少的, 更少的； ; adv.较少地, 更少地
326,lesson,['les(ə)n],n. 功课;教训,经验；榜样
327,level,['levl],n. 数量；等级；水平
328,life,['laɪf],n. 生活；生命
329,lift,[lɪft],v.电梯；向上举
330,light,[lait],n.光；光亮；灯；灯光
331,likely,['laɪkli],adj. 可能的；可信的; adv. 很可能
332,limit,['lɪmɪt],n.限制；限度；界限 ; v.限制；限定
333,listen,['lɪsn],v. 听, 倾听; 听信
334,live,[liv,lɑiv],vi.生活；居住；活着
335,lonely,['ləʊnli],adj. 寂寞的；孤独的；荒凉的
336,long,[lɒ ŋ],adj. 长的;v. 渴望
337,lose,[luz],v. 失去（本来拥有）；miss 错过（本; 不拥有）
338,low,[ləʊ],adj.低
339,lucky,['lʌ ki],adj.运气好；侥幸
340,magic,['mæ dʒɪk],adj.神奇的
341,main,[men],adj.主要的
342,make,[meɪk],n. 制造,强迫
343,manage,['mæ nɪdʒ],v.成功做成…manage to do sth.
344,mark,[mɑ:k],v.作记号；标明
345,market,['mɑ:kit],n.市场；集市
346,marry,['mæ ri],v.结婚
347,match,[mæ tʃ],n./v.比赛；相配
348,material,[mə'tɪəriəl],n. 材料；原料 ; adj. 物质的；实际的
349,matter,['meitə],v.有关系；要紧
350,mean,[mi:n],v.意思是；意味着
351,meaning,['mi:niŋ],n.意思；含义
352,measure,['meʒə(r)],n. 措施；量度；尺寸；; v. 测量；权衡
353,medical,['medikəl],adj.医学的；医疗的
354,member,['mɛmbɚ],n.会员
355,memory,['mɛməri],n.记忆
356,mention,['mɛnʃən],v.提到
357,method,['meθəd],n.方法
358,mind,[maɪnd],v.介意+doing ; n.想法；脑海
359,miss,[mɪs],n. [M-]小姐; vt. 想念
360,mobile,['məʊbaɪl],adj. 可迅速转动的；易于移动的
361,modern,['mɒ dn],adj. 现代的; n. 现代人
362,moment,['məʊmənt],n. 片刻；瞬间；非常重要的时机
363,mountain,['mauntin],n.山；山脉
364,move,[mu:v],v.移动；搬动；搬家
365,national,['næʃnəl],adj. 民族的；国家的；
366,native,['neitiv],adj.本地的
367,natural,['nætʃrəl],adj. 自然的；天然的
368,nature,['neɪtʃə(r)],n. 自然；本性
369,nearly,['nɪrli],adv.几乎
370,necessary,['nesisəri],adj.必要的
371,negative,['negətɪv],adj 消极的
372,neither,['naɪðə(r)],pron.两者都不
373,nervous,['nɜ:rvəs],adj.紧张的
374,news,[njuːz],n. 新闻；消息
375,noise,[nɔɪz],n. 噪声；喧闹声; vi. 大声说话；发出噪音
376,normal,['nɔ:rml],adj.正常的
377,note,[nəut],n.便条；笔记；注释；钞票；纸币；音; 符；音调
378,notice,['noʊtɪs],v.注意到; n.布告；通知；注意
379,object,['ɒ bdʒɪkt],n. 物体；目标; v. 反对
380,observe,[əb'zɜːv],v. 观察；遵守；注意到
381,obvious,['ɒ bviəs],adj. 明显的； 显著的； 平淡无奇的
382,occasional,[ə'keɪʒnəli],adj 偶尔的；不经常的
383,offer,['ɔfə],v.提供；出价
384,once,[wʌ ns],adv. n. 一次；一度; conj.从前
385,operation,[ɒ pə'reɪʃ(ə)n],n. 操作；经营；[外科] 手术
386,opinion,[ə'pɪnjən],n.意见；主张
387,opportunity,[ˌ ɒ pə'tju:nəti],n. 机会；时机
388,opposite,['ɒ pəzɪt],adj.相反的
389,order,['ɔ:rdə(r)],n./v.顺序；命令
390,ordinary,['ɔːdnri],adj. 平凡的；普通的
391,organize,['ɔː(r)gənaɪz],v.组织
392,outside,['aut'said],n.外面；adj.外面的
393,overcome,[ˌ əʊvə'kʌ m],v.克服
394,owner,['əunə],n.主人；所有者
395,pain,[peɪn],n.痛苦
396,paint,[peɪnt],v.画画
397,park,[pɑːk],n. 公园;v.停放
398,part,[pɑ:t],n.部分；成分；角色；部件；零件
399,pass,[pɑːs],v. 通过；经过；传递; n. 通行证；及格
400,past,[pɑːst],adv.过
401,patient,['peɪʃnt],n.病人;; adj. 有耐心的；能容忍的
402,pay,[pei],v.付；支付；偿还
403,peace,[piːs],n.和平
404,peaceful,['piːsfl],adj. 和平的
405,percent,[pə'sent],n. 百分比
406,perfect,['pɜːfɪkt],adj. 完美的; vt. 使完美
407,perform,[pə'fɔːm],v. 执行；履行；表演
408,perhaps,[pə'hæ ps],adv.或许
409,period,['piəriəd],n.定期；时代,时期
410,personal,['pə:sənəl],adj.个人的；私人的
411,physical,['fɪzɪkl],adj. 物质的；身体的；物理的；
412,physically,['fɪzɪkli],adv. 身体上地
413,pick,[pɪk],v. 拾；捡；挑选；采摘；偶然学到; n. 拾；捡
414,pity,['pɪti],n.怜悯；同情
415,place,[pleɪs],n.地方；名额=part=position（地位）
416,plan,[plæ n],n. 计划；方法；策略; v. 打算；安排；计划
417,plant,[plɑ:nt],vt.种植；播种
418,pleasant,['pleznt],adj. 令人愉快的
419,pleasure,['pleʒə(r)],n. 愉快；高兴; v. 使高兴
420,plenty,['plenti],n. 丰富；充足; adj. 充足的; adv. 非常；充分
421,point,[pɔint],n.点; v.指；指出；强调
422,polite,[pə'laɪt],adj. 有礼貌的
423,pollution,[pə'luːʃ(ə)n],n. 污染
424,poor,[pʊə(r)],adj. 贫穷的；可怜的；贫乏的
425,popular,['pɒ pjʊlə],adj.（音乐、艺术等）大众的；通俗的
426,position,[pə'zɪʃən],n. 位置；方位
427,positive,['pɔzətiv],adj.积极的
428,possible,['pɔsəb(ə)l],adj.可能的
429,powerful,['paʊəfʊl],adj. 强大的；强有力的
430,practice,['præktis],v.实践；实行；练习
431,praise,[preɪz],v.表扬
432,prefer,[prɪ'fɜː(r)],adj. 强大的；强有力的
433,prepare,[pri'pɛə],v.准备；预备
434,present,[pri'zent],v.介绍；呈现
435,president,['prezɪd(ə)nt],n. 总统；董事长；校长；主席
436,pressure,['preʃə],n. 压力
437,prevent,[prɪ'vent],vt.阻止；防止；预防
438,price,[praɪs],n. 价格；价值；代价
439,print,[prɪnt],v.印刷；打印；出版
440,private,['praɪvɪt],adj. 私人的；私有的
441,prize,[praiz],n. adj.价格
442,probably,['prɒ bəbli],adv.可能地
443,problem,['prɔbləm],n.问题
444,process,[prə'ses],n.过程; vt. 处理；加工
445,produce,[prə'dju:s],vt./ vi.生产；制造
446,product,['prɔdʌ kt],n.产品
447,production,[prə'dʌ kʃən],n. 成果；产品；生产；
448,program,['prəʊgræm],n. 程序;节目；节目单;
449,progress,['prəʊgres],n. 进步；发展；前进; vi.前进；进步；进行
450,project,['prɔdʒekt],vt. 规划；; n.项目；计划；方案；课题
451,promise,['prɒ mɪs],v./n.承诺
452,proper,['prɒ pə(r)],adj.恰当的
453,protect,[prə'tekt],v.保护；防卫
454,protection,[prə'tekʃ(ə)n],n. 保护；防卫
455,proud,[praʊd],adj.骄傲的
456,prove,[pru:v],v.证明；证实
457,provide,[prə'vaɪd],v.提供；出价
458,public,['pʌ blɪk],adj.公众的；公用的；公立的; n.公众；公共场所
459,pull,[pʊl],v.拉；拖
460,punish,['pʌ nɪʃ],v.惩罚
461,purpose,['pɜ:rpəs],n.目的
462,push,[pʊʃ],v.推；从拥挤的人群中挤出来；催人奋; 进
463,quiet,['kwaɪət],adj.安静的
464,quite,[kwaɪt],adv.十分、很
465,race,[reɪs],n. 比赛；赛跑; v.进行速度竞赛
466,raise,[reɪz],v.举起（人为力量）；捐钱
467,rather,['rɑ:ðə],adv.特别的；而不是
468,reach,[riːtʃ],v. 到达；伸手够到
469,ready,['redi],adj.准备
470,realize,['riəˌ laɪz],v.实现（realize dream）；意识到（突; 然意识到）
471,reason,['rizən],n.理由
472,receive,[rɪ'si:v],v.收到；得到
473,recently,['riːsntlɪ],adv. 最近；新近
474,recite,[rɪ'saɪt],vt.&vi. 背诵；叙述；列举
475,recognize,['rekəgnaɪz],v.认出；辨认
476,record,['rekɔ:d],v.记录,将…录音
477,reduce,[ri'dju:s],v.减少；降低；缩小
478,refer,[ri'fə:],v.参考；谈到；涉及；查阅
479,refuse,[ri'fju:z],v.拒绝
480,regard,[rɪ'gɑːd],vt. 把…看作
481,regret,[rɪ'gret],v.后悔；惋惜
482,regular,['regjʊlə],adj. 定期的；有规律的；合格的；整; 齐的
483,relation,[rɪ'leɪʃ(ə)n],n. 关系
484,relationship,[rɪ'leɪʃnʃɪp],n.关系
485,relaxation,[ˌ ri:læk'seɪʃn],n.消遣；放松
486,relaxed,[rɪ'lækst],adj. （人）轻松的；自在的
487,remain,[rɪ'meɪn],v.剩下；余留；依然
488,remind,[ri'maind],v.提醒；使想起
489,repair,[ri'peə],n.&v.修理；修补
490,repeat,[rɪ'pi:t],v. 重复;复述
491,reply,[ri'plai],n.回答；答复
492,report,[rɪ'pɔ:t],n.&v.报告；报道
493,require,[rɪ'kwaɪə],vt. 需要；要求；命令
494,requirement,[rɪ'kwaɪəm(ə)nt],n. 要求；必要条件；必需品
495,research,[ri'sə:tʃ],n.研究；调查
496,researcher,[ri:'sə:tʃə],n. 研究员；调查者
497,respect,[ri'spekt],v.尊敬；敬重；遵守
498,respond,[rɪ'spɒ nd],vi. 回答；作出反应
499,responsibility,[rɪˌ spɒ nsə'bɪlətɪ],n.责任
500,responsible,[rɪ'spɒ nsəbl],adj.负责的；有责任的
501,rest,[rest],v.& n.休息
502,result,[rɪ'zʌ lt],n. 结果；成绩；答案；比赛结果 vi. 结; 果；导致；产生
503,return,[rɪ'tɜːn],n. v.返回；报答
504,review,[rɪ'vju:],v. & n.回顾; 复习; （报刊的） 评论
505,reward,[rɪ'wɔːd],n. 报酬；报答；酬谢 vt. 奖励；奖赏
506,right,[raɪt],adj. 正确的；直接的；右方的; n. 正确；右边；正义
507,risk,[rɪsk],n.冒险；风险
